,источник деривации,лемма греч.,часть речи ,фонетич. и графическая вариантность для русского языка 11-17 вв.,морфологическая вариативность для русского языка 11-17 вв.,этимология,гапакс,язык-посредник,семантика,толкование Фасмера,фиксация в исторических словарях русского языка,фиксация в словарях славянских языков,переводные источники,оригинальные источники,дата создания списков,дата появления источника,цитата первой и ранней фиксации,тематическая группа,дополнительная филологическая информация,дополнительная историко-культурная информация, связывающие отсылки
прянощи,,,мн.ч.,,,,,,,,"ФГcэ, III, 164",,,,,,,,,,
пряный,,,прил.,,"пьпьрѣнъ (ФГcэ, III, 164)",,,,,,"ФГcэ, III, 164",,,,,,,,,,
пряный,,,,,"пупярный (ФГcэ, III, 164)",,,,,,"ФГcэ, III, 164",,,,,,,,,,
псалить,,ψάλλω,глаг.,псалиць,,,,,,cantare,"ФГcэ, III, 161",,,,,,,,,,
псалка,,ψάλλω,ж.,,,,,,,cantus,"ФГcэ, III, 161",,,,,,,,,,
псалмодравъ,,ψάλλω,м.,,,,,,,,"ФГcэ, III, 161",,,,,,,,,,
псалъмъ,,ψαλμός,м.,псальма,,,,,,psalmus,"ФГcэ, III, 161",,,,,,,,,,
псалътырь,,ψαλτήρι(ον),ж.,,,,,,,psalterium,"ФГcэ, III, 161; Срз. II, 1598",,,,,,,,,,
псальникъ,,ψάλλω,м.,,,,,,,,"ФГcэ, III, 161",,,,,,,,,,
псарь,,ψάρι<ὀψάριον,ж.,,"псарька, псарка, псалка, псолка (ФГcэ, III, 162)",,,,,piscis,"ФГcэ, III, 162",,,,,,,,,,
псарь,,ψάρι<ὀψάριον,,,"псалуга, псалыга (ФГcэ, III, 162)",,,,,,,,,,,,,,,,
пситакъ,,ψιττακός,м.,псифакъ,,,,,,psitaccus,"ФГcэ, III, 162; Срз. II, 1722",,,,,,,,,,
псифидия,,ψηφίδι:ψῆφος,ж.,,,,,,,lapillus ad opus musivum conficiendum,"ФГcэ, III, 162; Срз. II, 1722",,,,,,,,,,
псифия,,ψηφίον,,,,,,,,,,,,,,,,,,,
псора,,ψώρα,ж.,,,,,,,,"ФГcэ, III, 162",,,,,,,,,,
псофия,,*ψόφια:ψόφος,ж.,,,,,,,,"ФГcэ, III, 162",,,,,,,,,,
псулъ,,ψώλος,м.,,,,,,,penis,"ФГcэ, III, 163",,,,,,,,,,
псюрка,,ψάρι<ὀψάριον,ж.,псирка,,,,,,,"ФГcэ, III, 162",,,,,,,,,,
пуга,,ποῦγγα,ж.,псѫга,,,,,,,"ФГcэ, III, 163",,,,,,,,,,
пуйка,,"πουλλί,pl.πουλλία<ποῦλλος",ж.,,,,,,,,"ФГcэ, III, 164",,,,,,,,,,
пула,,πουλῶ<πωλῶ<πωλέω,,,,,,,,,"ФГcэ, III, 163",,,,,,,,,,
пулецъ,,πουλῶ<πωλῶ<πωλέω,м.,,"пульщик (ФГcэ, III, 163)",,,,,,"ФГcэ, III, 163",,,,,,,,,,
пулецъ,,πουλῶ<πωλῶ<πωλέω,,,"упульщик (ФГcэ, III, 163)",,,,,,,,,,,,,,,,
пулить,,πουλῶ<πωλῶ<πωλέω,глаг.,пулять,,,,,,,"ФГcэ, III, 163-164",,,,,,,,,,
пуль,,"φόλλος,φόλλις",м.,пола,,,,,,,,,,,,,,,,,
пуля,,"πουλλί,pl.πουλλία<ποῦλλος",ср.,,"пульокъ (ФГcэ, III, 164)",,,,,moneta,"ФГcэ, III, 164; Срз. II, 1725",,,,,,,,,,
пулятель,,πουλῶ<πωλῶ<πωλέω,м.,,,,,,,,"ФГcэ, III, 163",,,,,,,,,,
пулятка,,"πουλλί,pl.πουλλία<ποῦλλος",ж.,,,,,,,,"ФГcэ, III, 164",,,,,,,,,,
пурняти,,πῳρνό,глаг.,,,,,,,,"ФГcэ, III, 157",,,,,,,,,,
пурпуръ,,πορφύρα,м.,"порпура, парпура",,,,,,,"ФГcэ, III, 158",,,,,,,,,,
рака,,ῥακά,м.,,,,,,,aqua roascea,"ФГcэ, III, 165",,,,,,,,,,
рака,,ἄρκα:ἀρκίον,ж.,,,,,,,homo malus,"ФГcэ, III, 165",,,,,,,,,,
раковина,,ἄρκα:ἀρκίον,ж.,,,,,,,sepucrum,"ФГcэ, III, 165",,,,,,,,,,
рамать,,"ῤάμματον:ῥάμμα,ῥάμμαν",м.,,,,,,,,"ФГcэ, III, 165",,,,,,,,,,
рамьна,,ῥάμνα<ῥάμνος,ж.,рамьнъ,,,,,,,"ФГcэ, III, 165",,,,,,,,,,
раса,,ῤάσον,ж.,,,,,,,,"ФГcэ, III, 165",,,,,,,,,,
ревиньфия,,ῥέβιθος<ῥέβινθος:ἐρέβινθος,ж.,,,,,,,cicer,"ФГcэ, III, 166",,,,,,,,,,
ревитъ,,ῥέβιθος<ῥέβινθος:ἐρέβινθος,м.,ривифь,,,,,,vestis,"ФГcэ, III, 165; Срз. III, 71",,,,,,,,,,
рефть,,ῥεύτης,ж.,,,,,,,,"ФГcэ, III, 166; Срз. III, 113 и 120",,,,,,,,,,
риксъ,,ῥήξ,м.,,"рег (ФГcэ, III, 166)",,,,,,"ФГcэ, III, 166",,,,,,,,,,
рипида,,ῥιπίδα<ῥιπίδιον,ж.,рипидиꙗ,,,,,,rex,"ФГcэ, III, 166; Срз. III, 123",,,,,,,,,,
риписати,,ῥιπίζω,глаг.,,,,,,,flabellum,"ФГcэ, III, 166; Срз. III, 123",,,,,,,,,,
рискъ,,ῤιζικόν:ῤίζα,м.,,,,,,,,"ФГcэ, III, 166",,,,,,,,,,
ритина,,ῤητίνα:ῤητίνη,ж.,,,,,,,periculum,"ФГcэ, III, 166",,,,,,,,,,
риторъ,,ῤητορική,м.,,,,,,,resina,"ФГcэ, III, 166",,,,,,,,,,
рогалия,,ἀργαλειό:ἐργαλεῖον,ж.,,,,,,,инструментум,"ФГcэ, III, 34",,,,,,,,,,
рогдица,,ῤαβδίτσα:ῤάβδος,ж.,,,,,,,orator,"ФГcэ, III, 166; Срз. III, 124",,,,,,,,,,
рогостырь,,ἀργαστήρι,м.,,,,,,,,"ФГcэ, III, 166; Срз. III, 131",,,,,,,,,,
родия,,ῤόδιον:ῤόδον,ж.,,,,,,,,"ФГcэ, III, 167",,,,,,,,,,
родия,,"ῤόδιον:ῤούδι,ῤώδι,ῤοίδι",ж.,рода,,,,,,lilium,"ФГcэ, III, 167",,,,,,,,,,
родостома,,ῥοδόσταμα:ῥοδόσταγμα,ж.,родостьма,,,,,,,"ФГcэ, III, 165",,,,,,,,,,
розмаринъ,,"ῤοσμαρῖνον,δενδρολίβανον",м.,,,,,,,malum punicum,"ФГcэ, III, 167; Срз. III, 132",,,,,,,,,,
роиска,,ῤοίσκος,ж.,,,,,,,rosmarinus,"ФГcэ, III, 167",,,,,,,,,,
романинъ,,ῤωμανός,м.,,,,,,,anthemis arvensis,"ФГcэ, III, 167",,,,,,,,,,
романистъ,,ῤωμανήσιον,м.,романисъ,,,,,,,"ФГcэ, III, 167; Срз. III, 162",,,,,,,,,,
романъ,,ῤωμανός,м.,рамонъ,"романецъ (ФГcэ, III, 167)",,,,,"«vectis, quo fores obserantur»","ФГcэ, III, 167",,,,,,,,,,
роменъ,,ῤωμανός,м.,,,,,,,camilla,"ФГcэ, III, 167",,,,,,,,,,
ропать,,ῤαπάτι(ον),ж.,ропата,,,,,,romanus,"ФГcэ, III, 167",,,,,,,,,,
руга,,ρόγα,ж.,,,,,,,templum,"ФГcэ, III, 167-168; Срз. III, 165",,,,,,,,,,
руга,,ῤοῦγα,ж.,,,,,,,"praemium, salarium","ФГcэ, III, 168",,,,,,,,,,
руга,,ῤόγα,ж.,,,,,,,,"ФГcэ, III, 168; Срз. III, 184 и 188",,,,,,,,,,
рупосъ,,ῤύπος,м.,,,,,,,vestis,"ФГcэ, III, 168",,,,,,,,,,
русалия,,ῤουσάλια,ж.,,,,,,,,"ФГcэ, III, 168",,,,,,,,,,
руслянка,,ῤουσάλια,ж.,,,,,,,dies festus,"ФГcэ, III, 168-169",,,,,,,,,,
рюма,,ῤεῦμα,ж.,,,,,,,nereis,"ФГcэ, III, 169",,,,,,,,,,
рюмить,,ῤεῦμα,глаг.,,,,,,,"deliquium animi, epilepsis","ФГcэ, III, 169; Срз. III, 238",,,,,,,,,,
саванъ,,σάβανον,м.,,,,,,,,"ФГcэ, III, 169",,,,,,,,,,
саганъ,,σαργάνι(ον),м.,,,,,,,belone rostata,"ФГcэ, III, 174",,,,,,,,,,
сагъ,,"σάγος>σαγί(ον),pl.σαγιά",м.,,,,,,,sabanum,"ФГcэ, III, 169",,,,,,,,,,
саква,,σακκί(ον),ж.,"сакы, сакы","сакула (ФГcэ, III, 170)",,,,,,"ФГcэ, III, 170",,,,,,,,,,
сакеларии,,σακελλάριος,м.,,,,,,,,"ФГcэ, III, 170",,,,,,,,,,
сакелие,,σακέλλιον,ср.,сакельня,,,,,,,"ФГcэ, III, 170",,,,,,,,,,
сакомахионъ,,σακκομάχιον,м.,,,,,,,sacellarius,"ФГcэ, III, 170",,,,,,,,,,
сакъ,,σάκκος,м.,,"саккосъ (ФГcэ, III, 170)",,,,,cilicium,"ФГcэ, III, 170; Срз. III, 244",,,,,,,,,,
саламандра,,σαλαμάνδρα,ж.,саламандръ,,,,,,,"ФГcэ, III, 170",,,,,,,,,,
саламата,,"σαλγαμᾶτον,pl.σαλγαμᾶτα:σαλγάμι",ж.,"саломатъ, саломать, соломать",,,,,,salamander,"ФГcэ, III, 170",,,,,,,,,,
саламатить,,"σαλγαμᾶτον,pl.σαλγαμᾶτα:σαλγάμι",глаг.,,,,,,,,"ФГcэ, III, 171",,,,,,,,,,
саландарь,,σαραντάρι,м.,,,,,,,,"ФГcэ, III, 171",,,,,,,,,,
салата,,σαλάτα,ж.,салатъ,,,,,,,"ФГcэ, III, 172",,,,,,,,,,
салиангозь,,σάλιαγκος,м.,,,,,,,satura herbaria,"ФГcэ, III, 172",,,,,,,,,,
саломаха,,"σαλγαμᾶτον,pl.σαλγαμᾶτα:σαλγάμι",ж.,,,,,,,,"ФГcэ, III, 171",,,,,,,,,,
салосъ,,σαλός,м.,,,,,,,limax,"ФГcэ, III, 172",,,,,,,,,,
салпа,,σάλπα,ж.,,,,,,,stultus,"ФГcэ, III, 172",,,,,,,,,,
самвикъ,,σαμβύκης,м.,,"самвикия (ФГcэ, III, 172-173; Срз. III, 245)",,,,,sparus salpa,"ФГcэ, III, 172",,,,,,,,,,
сандалия,,σανδάλιον,ж.,"сандалиѥ, сандалы, сандали",,,,,,sambuca,"ФГcэ, III, 172-173; Срз. III, 245",,,,,,,,,,
сандалъ,,σάνταλον,м.,,,,,,,sandalum,"ФГcэ, III, 172-173; Срз. III, 257",,,,,,,,,,
сандалъ,,σάνταλος,м.,,"сандальць (ФГcэ, III, 173)",,,,,,"ФГcэ, III, 173",,,,,,,,,,
сандаракъ,,σανδαράκη,м.,,,,,,,,"ФГcэ, III, 173",,,,,,,,,,
сапа,,*σάπα,ж.,,,,,,,"piscis, cyprinus ballerus","ФГcэ, III, 174",,,,,,,,,,
сапунка,,σαπούνι,ж.,,,,,,,,"ФГcэ, III, 174",,,,,,,,,,
сапфиръ,,σάπφειρος,м.,санфиръ,,,,,,sapphirum,"ФГcэ, III, 173",,,,,,,,,,
саракинъ,,σαρακηνός,м.,,,,,,,saracenus,"ФГcэ, III, 174",,,,,,,,,,
саранда,,σαράντα,ж.,,,,,,,,"ФГcэ, III, 174",,,,,,,,,,
сарделя,,σαρδέλλα,ж.,,,,,,,sardella,"ФГcэ, III, 175",,,,,,,,,,
сардий,,σάρδιος,м.,саръдъ,,,,,,sardius,"ФГcэ, III, 175",,,,,,,,,,
сардониксъ,,σαρδόνυξ,м.,"сардонихъ, сардоникъ","сардониченъ (ФГcэ, III, 175)",,,,,sardonyx,"ФГcэ, III, 175",,,,,,,,,,
сата,,σᾶτον,ж.,,,,,,,mensura,"ФГcэ, III, 175; Срз. III, 263",,,,,,,,,,
сатана,,σατανᾶς,м.,,,,,,,diabolus,"ФГcэ, III, 175; Срз. III, 263",,,,,,,,,,
сахариться,,σάκχαρον:σάκχαρ,глаг.,,,,,,,,"ФГcэ, III, 176",,,,,,,,,,
сахаръ,,σάκχαρον:σάκχαρ,м.,,,,,,,saccharum,"ФГcэ, III, 176",,,,,,,,,,
саянка,,"σάγος>σαγί(ον),pl.σαγιά",ж.,,,,,,,vestis,"ФГcэ, III, 169-170; Срз. III, 239",,,,,,,,,,
свекла,,σεῦκλον,ж.,"цвикля, чекула, чейкла",,,,,,beta vulgaris,"ФГcэ, III, 176",,,,,,,,,,
севра,,ξεύρω<ἐξεύρω:ἐξευρίσκω,ж.,,,,,,,,"ФГcэ, III, 176",,,,,,,,,,
севрить,,ξεύρω<ἐξεύρω:ἐξευρίσκω,глаг.,"севрать, севреить",,,,,,,"ФГcэ, III, 176",,,,,,,,,,
севручный,,ξεύρω<ἐξεύρω:ἐξευρίσκω,прил.,,,,,,,,"ФГcэ, III, 176",,,,,,,,,,
семидалъ,,σεμίδαλις,м.,,,,,,,,"ФГcэ, III, 176; Срз. III, 332",,,,,,,,,,
сентябрь,,σεπτέμβριος,м.,"септѧбрь, семтѧбрь, семтѧбрь",,,,,,september,"ФГcэ, III, 177",,,,,,,,,,
серафимъ,,σεραφίμ,м.,,,,,,,seraphimun,"ФГcэ, III, 177",,,,,,,,,,
сермяга,,,ж.,"сермягъ, сермяга",,,,,,,"ФГcэ, III, 181; Срз. III, 365",,,,,,,,,,
серь,,σέρις,ж.,,,,,,,intibi genus seu cichorii,"ФГcэ, III, 177; Срз. III, 340",,,,,,,,,,
сзетай,,ζετῶ<ζητῶ,,,,,,,,,"ФГcэ, III, 63",,,,,,,,,,
сивинъ,,σίβινον,м.,,,,,,,,"ФГcэ, III, 177",,,,,,,,,,
сивирять,,ξεύρω<ἐξεύρω:ἐξευρίσκω,глаг.,,"севриць (ФГcэ, III, 176)",,,,,,"ФГcэ, III, 176",,,,,,,,,,
сигъно,,σίγνον,м.,,,,,,,signum,"ФГcэ, III, 177; Срз. III, 344",,,,,,,,,,
сикерь,,*σίκερος:σίκερα,м.,,,,,,,sicera,"ФГcэ, III, 177; Срз. III, 348",,,,,,,,,,
сиклъ,,σίκλος,,,,,,,,,,,,,,,,,,,
сикома,,σήκωμα,ж.,,,,,,,onus,"ФГcэ, III, 177; Срз. III, 348",,,,,,,,,,
сикомория,,συκομορέα,ж.,сикоморъ,,,,,,sycomorus,"ФГcэ, III, 177-178",,,,,,,,,,
символъ,,σύμβολον,м.,,,,,,,"substantia, symbolum","ФГcэ, III, 178",,,,,,,,,,
синаксарь,,συναξάρι(ον),м.,сноксарь,"синоксарий (ФГcэ, III, 178)",,,,,"vitae sanctorum in, compendium redactae","ФГcэ, III, 178; Срз. III, 355",,,,,,,,,,
синапь,,σινάπι<σίναπι,ж.,,,,,,,sinapis,"ФГcэ, III, 178; Срз. III, 355",,,,,,,,,,
сингиль,,σιγγίλλι(ον),м.,,,,,,,mugil cheto,"ФГcэ, III, 178",,,,,,,,,,
синедрионъ,,συνέδριον,м.,,,,,,,,"ФГcэ, III, 178",,,,,,,,,,
синкелъ,,σύγκελλος,м.,,,,,,,"domesticum, qui in eadem cella habitat","ФГcэ, III, 178",,,,,,,,,,
синклития,,συνκλητική,ж.,секлетея,,,,,,,"ФГcэ, III, 178; Срз. III, 357",,,,,,,,,,
синклитъ,,σύγκλητος,м.,сунклитъ,,,,,,syncletus,"ФГcэ, III, 178; Срз. III, 357",,,,,,,,,,
синодикъ,,σύνοδος,м.,сенодикъ,,,,,,,"ФГcэ, III, 179; Срз. III, 357",,,,,,,,,,
синтаксисъ,,σύνταξις,м.,,"синтактикъ (ФГcэ, III, 179)",,,,,syntaxis,"ФГcэ, III, 179",,,,,,,,,,
сирадъ,,σειράδι(ον),ж.,,,,,,,funis,"ФГcэ, III, 179; Срз. III, 360",,,,,,,,,,
сиринъ,,σειρήν,м.,,,,,,,,"ФГcэ, III, 179; Срз. III, 358",,,,,,,,,,
сита,,σῖτος,ж.,,,,,,,,"ФГcэ, III, 179",,,,,,,,,,
ситарь,,σιτάρι(ον),м.,,,,,,,,"ФГcэ, III, 179-180",,,,,,,,,,
ситие,,σῖτος,ср.,,"ситник (ФГcэ, III, 179)",,,,,,"ФГcэ, III, 179",,,,,,,,,,
ситница,,σῖτος,ж.,,,,,,,,"ФГcэ, III, 180",,,,,,,,,,
ситьнъ,,σῖτος,прил.,,,,,,,,"ФГcэ, III, 179",,,,,,,,,,
скала,,σκάλα,ж.,скалы,,,,,,scala,"ФГcэ, III, 180",,,,,,,,,,
скалидия,,σκαλίδιον,ж.,,,,,,,instrumentum agricolarum,"ФГcэ, III, 180; Срз. III, 363",,,,,,,,,,
скалка,,σκάλα,ж.,,,,,,,,"ФГcэ, III, 180",,,,,,,,,,
скамейка,,"σκαμνί,pl.σκαμνιά",ж.,,,,,,,,"ФГcэ, III, 180",,,,,,,,,,
скамня,,"σκαμνί,pl.σκαμνιά",ж.,скамля,"скамниця, скомниця, скамлица (ФГcэ, III, 180)",,,,,scamnum,"ФГcэ, III, 180-181",,,,,,,,,,
скамьевщик,,"σκαμνί,pl.σκαμνιά",ж.,,,,,,,,"ФГcэ, III, 180",,,,,,,,,,
скамья,,"σκαμνί,pl.σκαμνιά",ж.,,,,,,,,"ФГcэ, III, 181",,,,,,,,,,
сканъдалъ,,σκάνδαλον,м.,сканъдѣлъ,,,,,,,"ФГcэ, III, 181; Срз. III, 365",,,,,,,,,,
скараманъгия,,σκαραμάγκιον,ж.,скоромѧга,,,,,,vestis,"ФГcэ, III, 181; Срз. III, 365",,,,,,,,,,
скарлатъ,,σκαρλᾶτον,м.,,,,,,,pannus coccineus,"ФГcэ, III, 181; Срз. III, 381",,,,,,,,,,
скаръ,,σκάρος,м.,,,,,,,piscis,"ФГcэ, III, 181; Срз. III, 366",,,,,,,,,,
скафа,,σκάφα,ж.,,,,,,,,"ФГcэ, III, 181-182",,,,,,,,,,
скевофулаксъ,,σκευγοφυλάκι,м.,,"скифилакосъ (ФГcэ, III, 182)",,,,,thesararius,"ФГcэ, III, 182",,,,,,,,,,
скевофюлакия,,σκευοφυλάκιον,ж.,скеуотофилакиꙗ,,,,,,thesaurus,"ФГcэ, III, 182; Срз. III, 373",,,,,,,,,,
скедия,,σκεδία:σχεδίη,ж.,,,,,,,,"ФГcэ, III, 182",,,,,,,,,,
скила,,σκίλλα,ж.,,,,,,,agrestis squilla,"ФГcэ, III, 182; Срз. III, 373",,,,,,,,,,
скилёнокъ,,σκύλος,,,,,,,,,"ФГcэ, III, 182",,,,,,,,,,
скилиха,,σκύλος,ж.,,,,,,,,"ФГcэ, III, 182",,,,,,,,,,
скилъ,,σκύλος,м.,скицъ,,,,,,canis,"ФГcэ, III, 182",,,,,,,,,,
скиляга,,σκύλος,,,,,,,,,"ФГcэ, III, 182",,,,,,,,,,
скимьнъ,,σκύμνος,м.,"скоумьнъ, скумънъ",,,,,,catulus,"ФГcэ, III, 182; Срз. III, 375",,,,,,,,,,
скиния,,σκηνή,ж.,,,,,,,"tenta, scaena","ФГcэ, III, 183; Срз. III, 375",,,,,,,,,,
скинопигия,,σκηνοπηγία,ж.,,,,,,,dies festus,"ФГcэ, III, 183; Срз. III, 375",,,,,,,,,,
скинья,,σκηνή,ж.,,,,,,,,"ФГcэ, III, 183",,,,,,,,,,
скиня,,σκηνή,ж.,,,,,,,,"ФГcэ, III, 183",,,,,,,,,,
скипитьръ,,σκῆπτρον,м.,скипетръ,,,,,,sceptrum,"ФГcэ, III, 183",,,,,,,,,,
скитъ,,Σκίτις,,,,,,,,,,,,,,,,,,,
скифъ,,Σκύθης,м.,,,,,,,scytha,"ФГcэ, III, 183",,,,,,,,,,
склава,,σκλάβος:Σκλαβηνός<Σλαβηνός,ж.,,,,,,,,"ФГcэ, III, 183",,,,,,,,,,
склавить,,σκλαβώνω,глаг.,,,,,,,,"ФГcэ, III, 183",,,,,,,,,,
склавота,,σκλάβος:Σκλαβηνός<Σλαβηνός,ж.,,,,,,,,"ФГcэ, III, 183",,,,,,,,,,
склавотникъ,,σκλάβος:Σκλαβηνός<Σλαβηνός,м.,,,,,,,,"ФГcэ, III, 183",,,,,,,,,,
склавута,,σκλάβος:Σκλαβηνός<Σλαβηνός,ж.,,,,,,,,"ФГcэ, III, 183",,,,,,,,,,
склавыга,,σκλάβος:Σκλαβηνός<Σλαβηνός,м.,,,,,,,,"ФГcэ, III, 183-184",,,,,,,,,,
склаута,,σκλάβος:Σκλαβηνός<Σλαβηνός,ж.,,,,,,,,"ФГcэ, III, 183",,,,,,,,,,
скнипа,,σκνίπα,ж.,скнифа,,,,,,,"ФГcэ, III, 184",,,,,,,,,,
сколопендра,,σκολοπένδρα:σκολοπένδριον,ж.,,,,,,,,"ФГcэ, III, 184",,,,,,,,,,
скомороха,,*σκώμμαρχος,ж.,,,,,,,,"ФГcэ, III, 185",,,,,,,,,,
скоморохъ,,*σκώμμαρχος,м.,,,,,,,praestiginator,"ФГcэ, III, 184-185",,,,,,,,,,
скопа,,σκώπα:σκώψ,ж.,,,,,,,falco,"ФГcэ, III, 185",,,,,,,,,,
скопердинъ,,σκαπέρδα,м.,,,,,,,,"ФГcэ, III, 185",,,,,,,,,,
скопецъ,,σκώπα:σκώψ,м.,,,,,,,,"ФГcэ, III, 185",,,,,,,,,,
скордия,,σκόρδιον,ж.,,,,,,,tenurium scordium,"ФГcэ, III, 185",,,,,,,,,,
скорода,,σκόροδον,ж.,,,,,,,carex digitata,"ФГcэ, III, 185",,,,,,,,,,
скорпена,,σκόρπαινα,ж.,,,,,,,"scorpaena scrofa, piscis","ФГcэ, III, 185-186",,,,,,,,,,
скорпии,,σκορπιός,м.,,,,,,,scorpio europaenus,"ФГcэ, III, 186; Срз. III, 383",,,,,,,,,,
скорпия,,σκορπιός,ж.,скоръпиꙗ,,,,,,scorpio,"ФГcэ, III, 186",,,,,,,,,,
скривонъ,,"σκριβῶν,pl.σκρίβας",м.,,,,,,,scriba,"ФГcэ, III, 186; Срз. III, 391",,,,,,,,,,
скрина,,σκρίνα:σκρινίον,ж.,скрыня,,,,,,,"ФГcэ, III, 186",,,,,,,,,,
скринка,,σκρίνα:σκρινίον,ж.,,,,,,,,"ФГcэ, III, 186",,,,,,,,,,
скринки,,σκρίνα:σκρινίον,мн.ч.,,,,,,,,"ФГcэ, III, 186",,,,,,,,,,
скринька,,σκρίνα:σκρινίον,ж.,,,,,,,,"ФГcэ, III, 186",,,,,,,,,,
скрындякъ,,σκρίνα:σκρινίον,м.,,,,,,,,"ФГcэ, III, 186",,,,,,,,,,
скумбрия,,"σκουμβρί,pl.σκουμβριά<σκόμβρος",ж.,,,,,,,scomber scombrus,"ФГcэ, III, 187",,,,,,,,,,
скуфия,,"σκουφί,pl.σκουφία:σκύφος",ж.,,,,,,,capa,"ФГcэ, III, 187",,,,,,,,,,
скютомъ,,*σκυτόμος:σκυτοτόμος,м.,,,,,,,,"ФГcэ, III, 187; Срз. III, 403",,,,,,,,,,
слипосать,,σκλίβώνω,глаг.,,"сливотырить (ФГcэ, III, 187)",,,,,polieren,"ФГcэ, III, 187",,,,,,,,,,
смирна,,σμύρνα,ж.,,"измирна (ФГcэ, III, 187)",,,,,myrrha,"ФГcэ, III, 187-188",,,,,,,,,,
смирна,,σμύρνα,ж.,,,,,,,nasturtium silvestre,"ФГcэ, III, 187-188",,,,,,,,,,
смирненый,σμύρνα,,прил.,змирненый,,,,,"относящийся к смирне, из смирны состоящий",,"СлРЯ, 25, 196",,,,,,,,,,
содома,,Σόδομα,ж.,,,,,,,,"ФГcэ, III, 188",,,,,,,,,,
содомить,,Σόδομα,глаг.,,,,,,,,"ФГcэ, III, 188",,,,,,,,,,
содомъ,,Σόδομα,м.,,,,,,,,"ФГcэ, III, 188",,,,,,,,,,
солама,,σαλαμόν,ж.,,,,,,,salmo,"ФГcэ, III, 188",,,,,,,,,,
солея,,σωλέα,ж.,,,,,,,,"ФГcэ, III, 188",,,,,,,,,,
соломатникъ,,"σαλγαμᾶτον,pl.σαλγαμᾶτα:σαλγάμι",м.,,,,,,,,"ФГcэ, III, 170-172",,,,,,,,,,
соломаха,,"σαλγαμᾶτον,pl.σαλγαμᾶτα:σαλγάμι",ж.,,,,,,,,"ФГcэ, III, 171",,,,,,,,,,
сомаръ,,σαμάρι,м.,,,,,,,asinus,"ФГcэ, III, 188",,,,,,,,,,
сорокоустие,,σαρακοστή,ср.,сорокоꙊстие,,,,,,,"ФГcэ, III, 188; Срз. III, 465",,,,,,,,,,
сорокоустъ,,σαρακοστή,м.,,,,,,,,"ФГcэ, III, 188; Срз. III, 465",,,,,,,,,,
сотона,,σατανᾶς,м.,,,,,,,diabolus,"ФГcэ, III, 188",,,,,,,,,,
спаржа,,ἀσπάραγος,ж.,,,,,,,asparagus officinalis,"ФГcэ, III, 189",,,,,,,,,,
спарусъ,,σπάρος,м.,,,,,,,sorgus annularis,"ФГcэ, III, 189",,,,,,,,,,
спаръ,,σπάρος,м.,,,,,,,sparus,"ФГcэ, III, 189",,,,,,,,,,
спата,,σπάθα,ж.,,,,,,,gladius,"ФГcэ, III, 189",,,,,,,,,,
спафарии,,σπαθάριος,м.,,,,,,,spatharius,"ФГcэ, III, 189",,,,,,,,,,
спира,,σπεῖρα,ж.,,,,,,,cohors,"ФГcэ, III, 189",,,,,,,,,,
спирида,,σπυρίδα,ж.,,,,,,,sportula,"ФГcэ, III, 189",,,,,,,,,,
сплинъ,,σπλήνα:σπλήν,м.,сплина,,,,,,lien,"ФГcэ, III, 189",,,,,,,,,,
сполитично,,*πολιτικᾶνος:πολιτικός,нареч.,,,,,,,,"ФГcэ, III, 155",,,,,,,,,,
спудея,,σπουδαῖος,м.,,,,,,,disciplinus,"ФГcэ, III, 190",,,,,,,,,,
спуза,,σποδία:σποδός,ж.,"спудза, спурдза",,,,,,,"ФГcэ, III, 190",,,,,,,,,,
ставрата,,σταυρᾶτον,ж.,,,,,,,moneta,"ФГcэ, III, 190; Срз. III, 488",,,,,,,,,,
стадие,,στάδιον,ср.,,,,,,,,"ФГcэ, III, 190; Срз. III",,,,,,,,,,
стадия,,στάδιον,ж.,,,,,,,mille passuum,"ФГcэ, III, 190",,,,,,,,,,
стактъ,,στάκτη,,,,,,,,,,,,,,,,,,,
стамбулка,,Στημβόλι:'Στημπόλιν,ж.,,,,,,,,"ФГcэ, III, 190",,,,,,,,,,
стамикъ,,στάμνα,м.,стамыкъ,,,,,,,"ФГcэ, III, 191",,,,,,,,,,
стамна,,στάμνα,ж.,,,,,,,,"ФГcэ, III, 190-191",,,,,,,,,,
статирь,,στατήρ,м.,,,,,,,moneta,"ФГcэ, III, 191",,,,,,,,,,
стафида,,σταφίδα,ж.,,,,,,,uva passa,"ФГcэ, III, 191",,,,,,,,,,
стафиль,,σταφύλι,ж.,,,,,,,,"ФГcэ, III, 191",,,,,,,,,,
стерлядь,,στειράδι,ж.,,,,,,,piscis,"ФГcэ, III, 191",,,,,,,,,,
стехнать,,στέκω,глаг.,"стычать, стычиць","стоняць, стокляць (ФГcэ, III, 191)",,,,,,"ФГcэ, III, 191",,,,,,,,,,
стехнать,,στέκω,,,"стехлявить (ФГcэ, III, 191)",,,,,,,,,,,,,,,,
стехнать,,στέκω,,,"астеклиться, астекливатца (ФГcэ, III, 191)",,,,,,,,,,,,,,,,
стивие,,στίβιον,,,,,,,,,,,,,,,,,,,
стипсь,,στύψί:στῦψις,ж.,,,,,,,,"ФГcэ, III, 192",,,,,,,,,,
стиракъ,,στύραξ,м.,стирака,"стираксъ (ФГcэ, III, 192)",,,,,storax,"ФГcэ, III, 192; Срз. III, 578",,,,,,,,,,
