,источник деривации,лемма польск.,часть речи, фонетическая вариативность для русского языка 11-17 вв.,морфологическая вариантивность для русского языка 11-17 вв.,этимология,гапакс,язык-посредник,семантика,толкование Фасмера,фиксация в исторических словарях русского языка,фиксация в словарях восточнославянских языков,переводные источники,оригинальные источники,дата создания списка,дата появления источника,цитата первой и ранней фиксации,тематическая группа,дополнительная филологическая информация,дополнительная историко-культурная информация,связывающие отсылки
марказит,,markazyt,,,,,,,,,,,,,,,"L 16/17 w., ",,,,
маркграбия,,margrabia,ж.,,маркрабии (СлРЯ),,,,Маркграф,,"СлРЯ 9, 31",,,Рим.имп.д.I,1489 г.,,"MP 16 w.  И Юрию молвити: за того маркрабия государю нашему дати не пригоже.Рим.имп.д. I, 17. 1489 г.",Название государственных должностей и чинов,,,
маркграбство,,margrabstwo,с.,"маркграфство, марграфство","маркграфшество, мархрафшество,  малхрафшество",,,,Область управления маркграфом,,"СлРЯ 9, 30",,,Рим.имп.д.II,1597 г.,,"NA1 Его королевского величества думчаго и марграфства Ляужнитцкого судья отъ себя великого посла, къ вашему величеству отпустилъ. Рим.имп.д. II, 403. 1597 г.","Лексика, относящаяся к государству, администрации",,,
маркетан,,markietan,,,,,,,,,,,,,,,SM,,,,
маркетанский,,markietański,,,,,,,,,,,,,,,SM,,,,
маркиз,,markiz ,м.,марквисъ,маркези,,,,Маркиз,,"СлРЯ 9, 30 ;C 1698 s.v. никоцианский",,, СГГД V,1491 г.,,"Мы Максимианъ... кралъ римский... дука Бергонский... и Бургоский кондъ... и... Зутвенский маркези. СГГД V, 8. 1491 г.",Лексика социально-общественной сферы,,,
мармор,,marmur,м.,,,,,,,,,,,,,,"RID,L17w.,",,,,
мармуровать,,marmurować,глаг.,,,,да,,"Отделывать мрамором, делать из мрамора.",,"СлРЯ 9, 290",,,,XVII в.,,"Мармурую. Marmoro. Лекс.словен.-лат., 466. XVII в.",Лексика строительно-архитектурного дела.,,,
мармуровый,,marmurowy,прил.,мрамуровый,,,,,мрамуровый и мармуровый камень - то же. что мрамуръ. ,,"СлРЯ 9, 290",,Х.Рад.,,1628 г.,,"KOK(28), KZ 1670 Стѣны же... вездѣ суть съ пепелистового съ сѣрого мармурового камени цками каменными. Х.Рад., 91. 1628 г.",Лексика строительно-архитектурного дела.,,,
марность,,marność,,,,,,,,,,,,,,,K3,,,,
маронита,,maronita,,,,,,,,,,,,,,,"L 17 w.: Араб маронита (ссылается на Похождение в землю Святую князя Радивила Сиротки 1582–1584; 16 век - это дата самого паломничества, переводы и списки моложе: перевод 1677, списки вт. пол. 17 в. Номер листа 23)",,,,
маронитский,,maronicki,,,,,,,,,,,,,,,"L 17 w. ссылается на Похождение в землю Святую князя Радивила Сиротки 1582–1584; 16 век - это дата самого паломничества, переводы и списки моложе: перевод 1677, списки вт. пол. 17 в. (л. 26)",,,,
марсовый,,marsowy,,,,,,,,,,,,,,,"RD III, SM",,,,
мартышка,,marciszka (16 w.),ж.,,,,,,"Мартышка, обезьяна.",,"СлРЯ 9, 31",,,Кн.пер.Оруж.пал.,XVII в.,,"V 1599 Пара пищалеи винтовал<ь>ных.. на прикладах по орлу двоеглавому с корунами по обе стороны орловъ по два лва посторонь л<ь>вов по двѣ птицы по станкам наведены заицы и сабаки и звѣри и мортышки и люди. Кн.пер.Оруж.пал., 266 об. 1687 г.",Название животных.птиц,,,
мархион,,marchion,,,,,,,,,,,,,,,"L 1678 - ссылается на ""Годовыя дела церковная"", 904, 928, 931",,,,
м.,,marcjalny,,,,,,,,,,,,,,,SM,,,,
марципан,,marcepan,м.,,,,,,"Маципан, род пирожного",,"СлРЯ 9, 32",,,Курб.Ист.,XVII в.,XVI в.,"L16/17w.,FG 1683  А малвазии и любымыхъ трунковъ зъ марцыпаны тамо не воспоминаи. Курб.Ист., 178. XVII в.~XVI в.",,,,
маслянка,,maślanka,ж.,,,,да,,"Пахтанье, сыворотка.",,"СлРЯ 9,36",,,,XVII в.,,"NOM(VIII) Маслянка. Lac serosum. Oxigala. Лекс.словен.-лат., 466.XVII в.",,,,
мата,,mata,ж.,,,,да,,"Рогожа, циновка, мат",,"СлРЯ 9, 41",,,,XVII в.,,"Мата. Matta scirpea. Storea. Лекс.словен.-лат., 466. XVII в.",Название тканей.,,,
матацтво,,matactwo,,,,,,,,,,,,,,,K1 kon. 17 w.,,,,
математик,,matematyk,м.,"матиматикъ, мафиматъ",,,,,"Ученый, занимающийся наукой о числах (величинах); математик.",,"СлРЯ 9, 41",,,Лекс.лат.-словен.,XVII в.,,"Mathematic(us), математикъ.Лекс.лат.-словен., 264. XVII в.","Лексика сферы культуры (наука, искусство, литература и т.д.)",,,
математика,,matematyka,ж.,,,,,,"Наука о числах (величинах), математика.",,"СлРЯ 9, 41",,,Ист.куп.Иоан.,XVII в.,,"L 1664, Государь мои батюшка, по приказу вашему учитель обучилъ меня читат(ь) и писать, такожъ и часть математики умѣю! Ист.куп.Иоан., 243. XVII в.","Лексика сферы культуры (наука, искусство, литература и т.д.)",,,
математицкий,,matematycki (16 w.),прил.,мафематицкий,,,,,"Относящийся к математике, астрономии, инженерному делу, артиллерии и другим сферам деятельности. где используются расчеты, производятся вычисления.",,"СлРЯ 9, 41",,,Петр I,1694 г.,,"Объ иномъ изъ каравана ни о чемъ не прошу, развѣ естьли будутъ инструменты математецкие или тимерманские. Петр, I, 26. 1694 г.","Лексика сферы культуры (наука, искусство, литература и т.д.)",,,
матерац,,materac,м.,матарацъ,,,,,Матрац,,"СлРЯ 9, 41",,,Кн.Ивер.м. II,1669 г.,,"По приказу отца Феодосия куплен матрацъ дх҃внику отцу Анастасию. Кн.Ивер.м.II, 54. 1669 г.",,,,
материал,,materiał,м.,материялъ,,,,,"То, из чего что-л. составляется, изготавляется.",,"СлРЯ 9, 42",,,Кн.охот.рег.,XVIII в.,XVII в.,"Когда заведется восса составляется материялъ для онои...  зварить ореховова масла с солью. Кн.охот.рег., 24 об. XVIII в.~XVII в.",,,,
материальный,,materialny,прил.,,,,,,Предназначенный для материалов,,"СлРЯ 9, 42",,,Мат.медиц.,1680 г.,,"Шкапное строенье - что въ материальнои казенкѣ. Мат.медиц., 1242. 1680 г.",,,,
материя,,materia (tkanina),ж.,материа,"матерка, метерня",,,,"2. Вещество, материал. (древн.) 3. Ткань, материя.",,"СлРЯ 9, 42",,Назиратель,,XVI в.,,"FG1 1675 Ничего на верху не останется от чего имѣла быти материя, сиирѣчь вещь растущих вещеи. Назиратель, 426. XVI в. (2)",,,,
материя,,"materia (ropa, gnój)",ж.,,,,,,,,,,,,,,"OT
1696",,,,
матица,,macica (17 w.),ж.,,,,,," 3. Маточное растение. 4. Матка (женский половой орган). 5. Осевая, опорная или скрепляющая часть чего-л. || Балка, поддерживающая потолок (в деревянных постройках). 6. Киль судна, нижний брус, на котором укреплен его остов. || Бревно, скрепляющее плот, связку бревен на сплаве (?). 7. Подлинник грамоты, делового документа. 8. Вид плотной рогожи. 9. часть невода в виде мешка, в который набирается пойманная рыба. 11. Порода, содержащая руду какого-л. металла. 12. Центральная часть войска. Ж ем ч у ж н а я  м а т и ц а - раковина-жемчужница. м а т и ц а  о г н е н н а я - преисподняя, геена.",,"СлРЯ 9, 44-45",,Назиратель,,XVI в.,,"GB2 1628 Насадити лоз или матицъ виноградныхъ. Назиратель., 168. XVI в. (3). Кровьтечение в матицы или в ложеснах. Назиратель, 199. XVI в. (4)",,,,
матка,,matka,ж.,,,,,,"1. Матка. || О крестной матери. || Перен. О Волге. 2. Самка животных (кобылица, свинья и др.) 3. Пчелиная матка. 4. Часть ноги у кобылицы. 5. Центральная часть войска. 6. Деревянный компас (у житилей побережья Белого моря). 7. ? М а т к а  о г н е н н а я - преисподняя, геена.",,"СлРЯ 9, 45",,,Симеон..лет.,к. XV в. - н. XVI в.,,"RID, KOK (1434): Князь же Иванъ отказа съ Андрѣемъ, глаголя великому князю: Господине государь, гдѣ ни буду, а вездѣ есмь твои человѣкъ, но чтобы нынѣ отчины не потеряти, да матка бы не скиталася по чюжеи отчинѣ, а всегда есмь твои. Симеон.лет., 174. к.  XV в. - н.XVI в.",,,,
матрикула,,matrykuła,ж.,,,,,,,,,,,,,,W(406),,,,
махина,,machina,ж.,,,,,,"Военное приспособление, машина, башня, которые использовались во время осады.",,"СлРЯ 9, 49",,,Алф.1,XVII в.,,"M 1499 Махинас - градоемные хитрости. Алф.1, 137.  XVII в.",Лексика сферы военной деятельности и военного устройства,,,
машкара,,"maszkara (maska, przebranie)",ж.,,,,,,Маска,,"СлРЯ 9, 50",,,Курб.Ист.,XVII в.,XVI в.,"DAM, M 1620 Онъ же началъ нудити его, глаголюще: веселися и играи съ нами! и взявши машкару [на поле: або личину] класти началъ на лице его. Курб.Ист., 279. XVII в.~XVI в.",,,,
машкарство,,maszkarstwo,с.,,,,да,,Шутовство,,"СлРЯ 9, 50",,,Польск.д.III,1567 г.,,"MP 1620 И машкарствомъ потѣшати тебя государя въ старости своей не учонъ есми. Польск.д.III, 519. 1567 г.",,,,
машталер,,masztalerz,,,,,,,,,,,,,,,K25,,,,
маштовый,,masztowy,,,,,,,,,,,,,,,W(405),,,,
мглистый,,mglisty,прил.,,,,да,,"Мглистый, туманный",,"СлРЯ 9, 52",,Назиратель,,XVI в.,,"Бываетъ воздухъ мглистои (mgliste). Назиратель, 142. XVI в.",,,,
мглить,,mdlić,глаг.,,,,,,"Делать сумрачным, омрачать настроение (?)",,"СлРЯ 9, 52",,,Леч. IV,XVII в.,XV в.,"R(977) Множит боленя очию и званенью по ушию... и иных многих немоцей, и болячки родит, хто яст на вечери. А набольшей хто яст, а жажды не держит, и тое мглит человека. Леч.IV, 77. XVII в.~XV в.",,,,
меглость,,mdłość,,,,,,,,,,,,,,,R(19),,,,
меделян,,medelan (rodzaj tkaniny),м.,,,,да,,Сорт полотна (миланского?),,"СлРЯ 9, 58",,,Там.кн.Моск.I,1694 г.,,"11 бунтов полотна швабского, 11 штук меделяну. Там.кн.Моск.I, 78. 1694 г.",,,,
меделянский,,medelański (pies) Canis molossus,прил.,,,,,,"С о б а к а  м е д е л я н с к а я - порода крупных охотничьих собак, происходящих из Северной Италии.",,"СлРЯ 9, 58",,,Посольство Тюфякина,1599 г.,,"RB 2 сабаки меделянские. Посольство Тюфякина, 395. 1599 г.",,,,
медиатор,,mediator,м.,медияторъ,,,,,Посредник.,,"СлРЯ 9, 58",,,Пис. Постникова,1699 г.,,"OT 1697 Его же цесарское величествие соизволилъ недавно быть королю швейскому яко медиатору, или посредственнику во постановлении генералнаго мира европскихъ государей. Пис.Постникова, 50. 1699 г.",,,,
медик,,medyk,м.,,медикус (L 17 w.),,,,"Парикмахер, выполнявший также некоторые обязанности лекаря",,"СлРЯ 9, 59",,,"Петр, III",1705 г.,,"E1 17 w. Надлежитъ медикамъ королевскимъ и о тѣхъ войскахъ купно старание имѣть. Петр, III, 879. 1705 г.",Название профессий,,,
медикамент,,medykament,м.,,,,,,Лекарство; медикаменты,,"СлРЯ 9, 59",,,Ист.Ал.рос.двор.,XVIII в.,XVII-XVIII вв.,"Дивлюся вамъ, государыня моя, что  медикаментовъ не употребляешь, а внутреннеи болезни такъ искусна исцеляти. Ист.Ал.рос.двор., 135. XVIII в.~XVII-XVIII вв.",,,,
медицина,,,ж. и м.,,,,,,1. Медицина. 2. Медик (древн).,,"СлРЯ 9, 59",,,Мат.медиц.,1673 г.,,"L 1676, Государь... указалъ быть въ Оптекарскомъ приказѣ лекарю иноземцу Симону Зомеру въ медиц<и>нахъ. Мат.медиц., 840. 1673 г.",,,,
медница,,miednica,ж. ,,,,,,,,"СлРЯ 9, 61",,,,,,"CC, L 1676",,,,
меланхолик,,melancholik,м.,,,,,,"Человек, склонный к меланхолии",,"СлРЯ 9, 77",,,,1670 г.,,"Melankolik. Мелянхоликъ. Несмѣятеленъ. Лекс.полон-словен., 104 об. 1670 г.",,,,
меланхолия,,melancholia,ж.,меленхолия,,,,,"угнетенное состояние, ипохондрия",,"СлРЯ 9, 77",,Назиратель,,XVI в.,," L 16/17 w. Воды... множат мелавхолию [так в рукоп. и изд.]. Назиратель, 130. XVI в.",,,,
мелодия,,melodia,ж.,мелюдия,,,,,Мелодия,,"СлРЯ 9, 81",,,Мусик.грам.Дил.,1681 г.,,"Посемъ Ефремъ Сиринъ сиряномъ стихи сотвори мелюдиею. Мусик.грам.Дил., 32. 1681 г.",,,,
менестра,,menestra,,,,,,,,,,,,,,,L 17 w.,,,,
ментальность,,"mentalność, umysłowość BZ",,,,,,,,,,,,,,,,,,,
менуэт,,menuet,,,,,,,,,,,,,,,SM,,,,
мерва,,mierzwa,ж.,,,,,,"1. Мелкие отходы при обработке льна, зерновых культур. 1.1. Отходы вообще, остатки (прополиса, воска и т.п.)",,"СлРЯ 9, 94",,Назиратель,,XVI в.,,"N, Сл.Шрове, TF, Сухая мерва, полова или гнои какои-нибудь, сухои будучи не могутъ достоятися сами, чтобы с нихъ былъ навоз прямои. Назиратель, 290. XVI в.",,,,
меркуриальный,,merkurialny,прил.,,,,да,,"Л е к а р с т в о  м е р к у р и а л ь н о е - лекарственный препарат, содержащий ртуть (меркурий)",,"СлРЯ 9, 101",,,"Петр, VII",1708 г.,,"Буду починать лѣкарства примать... меркуриалные, для которыхъ дохтуръ сказалъ десять дней не ходить тогда ис хоромъ. Петр, VII,  138.1708 г.",,,,
мерность 1,,mierność,ж.,,,,,,"Умеренность, воздержание",,"СлРЯ 9, 103",,,Курб.Ист.,XVII в.,XVI в.,"AU А яко же сие начинаютъ и како царева жития прежнюю мѣрность [в др. сп. на поле: цѣломудрие] разоряютъ... Начинаютъ пиры частые со многими пиянствы. Курб.Ист., 267. XVII в. ~ XVI в.",,,,
мерность 2,,,ж.,,,,,,"Н а ш а  м ѣ р н о с т ь - мы, я (формула, выражающая смирение, которую употребляли архиереи, говоря о себе)",,"СлРЯ 9, 103",,,АИ IV,1675 г.,,"И вамъ архиереомъ о такихъ безчинникахъ возвѣщать писаниемъ намъ, святѣйшему патриарху... кому наша мѣрность повелитъ. АИ IV, 544. 1675 г.\",,,,
местечко,,miasteczko,с.,,,,,,"1. Небольшая часть пространства, земной поверхности, определенное ограниченное место. 2. Небольшое поселение городского типа; город, городок (на западнорусских территориях); территория, тяготевшая к такому поселению, городу. (древн.) 3. небольшой участок земли, угодье различного назначения.",,"СлРЯ 9, 109-110",,,(Посл.Феоф.Вас.Вас) Сб.Кир.-Б.м.,XV в.,,"M 1456, K2 16 w., P śr.ros. Мѣстечко, город с мѣстом, також тъ впалъ в землю. (Посл.Феоф.Вас.Вас.) Сб.Кир.-Б.м., 39. XV в. (2)",,,,
местич,,mieścic,м.,,,,,,Горожанин. представитель торгово-ремесленного населения в западнорусских городах (местах) и городах Польского королевства и великого княжества Литовского.,,"СлРЯ 9, 110",,,АИ I,1450 г.,,"Мух.сб. (5) 1447 Князи и паны, и архимандриты, и протопопи. и игумены, и мѣстичи, и попы, и диякони, и весь христоименитый народъ... чтите его. АИ I, 97. 1450 г.",,,,
место,,miasto,с.,,,,,,"1. Часть пространства, земной поверхности; определенное ограниченное место. 1.1.Часть, определенное место поверхности какого-л. предмета. 1.2. Часть, определенное место книги, тетради, любого написанного текста. 1.3. Часть пространства, предназначенная для чего-л., кого-л., отведенное или пригодное для чего-л. место. 2. Чаще с опред. Местность, каким-л. образом характеризуемое земное пространство; край, земля. 3. Населенное место, поселение городского типа. 3.1. Собственно город, по западнорусской и европейской средневековой традиции, формировавшийся вокруг торга, торговой площади, а иногда вблизи замка, крепости (города, града). 4. Участок земли, угодье различного назначения. 5. Специально оборудованное место, где можно разместиться, стоять, сидеть или лежать. 6. Социальное положение, занимаемое кем-л. в общесте; звание, чин. 6.1. Служба, род занятий. 6.2. Должность, место при государе, право на которое определялось в русском государстве XV-XVII вв. древностью и знатностью рода, а также споры об этом месте; местничество. 7. Пора, время. 8. Определенный предмет из клади, груза; штука, мешок. 9. Тара, упаковка.",,"СлРЯ 9, 112",,,,,,,,,,
местский,,miejski,прил.,мѣский,,,,,Городской.,,"СлРЯ 9, 119",,,Курб.Ист.,XVII в.,XVI в.,"Въ тои же часъ, вкупѣ во сражение оное, и стрельбу огненную со града изъявиша, яко со вежъ высокихъ, такъ и съ стѣны мѣские. на воиско христианское стреляюще. Курб.Ист., 182. XVII в. ~ XVI в.",,,,
местце,,miejsce,с.,,,,,,"1. Небольшая часть пространства, земной поверхности, определенное ограниченное место. 1.1. Часть пространства, предназначенная для чего-л., кого-л., отведенное или пригодное для чего-л. место. 1.2. Часть, определенное место поверхности каког-л. предмета. 2. Небольшое населенное место, поселение, городок (на западнорусских территориях). 3. Небольшой участок земли, угодье различного назначения. Б ѣ л о е  м ѣ с ц е - небольшой земельный участок, владельцы которого освобождены от государственной тягловой повинности. 4. Специально оборудованное место, где можно расположиться.",,"СлРЯ 9, 119",,,,,,"TUR(70) (1051): Се Бъ҃  умножаеть брат<ь>ю, а мѣстьце мало; да бы ны далъ гору ту, яже есть надъ печерою. Лавр.лет., 158. 1377 г. (1) ; А послѣ тое войны, князя Ондреевы которыи люди пришли на свои мѣстца на Хлепени по всѣмъ тѣмъ волостемъ. Польск.д. I, 2. 1487 г. (2); А великому Николѣ старому въ манастырь далъ есми свое мѣстьце у с(вя)т(о)го великом(у)ч(е)н(и)ка Георгиа, што у попова у Лошкина двора. АСВР II, 355. 1460 г. ",,,,
мета,,meta,ж.,,,,,,"1. Отметина, метка. (древн.) 2. Цель; то, во что метятся. 3. То, к чему стремятся, чего хотят.",,"СлРЯ 9, 122",,,Переп.Безобразова,1687 г.,,"TUR(25) И они тѣхъ гусей не отдаютъ... и намѣтили своими мѣтами. Переп.Безобразова, 45. 1687 г.",,,,
металл,,metal,м.,металъ,метала (металя),,,,"Металл, сплавы металлов",,"СлРЯ 9, 122",,,,XVII в.,1534 г.,"L 16/17 w., ZM(10) 1616 А в тѣх временех злато и сребро ни во что мнѣли быша, н҃нѣ же паки мѣд<ь> ни во грош, а злато сребро всѣх металей одолѣваетъ. Травник Любч., 680. XVII в.~1534 г.",,,,
метальный,,metalny,прил.,,,,,,"прил. к металъ, метала. М е т а л н а я  с т ѣ н а - стенка орудийного ствола",,"СлРЯ 9, 123",,,,1710 г.,,"Ядра толщины металнои стѣны имуть, надобно шуфлу быть длины 3  1/2 калибра. Бринк.Артил., 74. 1710 г.",,,,
метафора,,metafora,ж.,,,,,,Метафора.,,"СлРЯ 9, 126",,,,XVIII в.,XVII в.,"MAK(28v) Изъ сихъ метафоръ свойства нѣкая разумѣемъ.Тако писание зоветъ Хр҃ста аг҃нца, лва и проч.: четыри же ев҃ глисты звѣрей образы знаменает. Сим.Пол.Бес.. 69 об.  XVIII  в.~ XVII в.",,,,
метафорично,,,нареч.,,,,,,В переносном смысле.,,"СлРЯ 9, 126",,,Истом.Лиц.букварь,1691 г.,,"MAK(28v), Къ сему на тѣ видообразныя вещи приличны юнымъ людемъ матафорично, си есть переноснѣ, еже отъ вещей слово къ дѣлу потребну вземлется, стихи нравоучителны написашася. Истом.Лиц.букварь. 31. 1691 г.",,,,
метонимия,,metonimia,,,,,,,,,,,,,,,,,,,
метрополита,,metropolita,,,,,,,,,,,,,,,RID,,,,
меть,,mieć,ж.,,,,,,Связка копченой рыбы.,,"СлРЯ 9, 129",,,Псков.п.кн.,1587 г.,,"RB, DAM, NV(XVII) А давали тѣ рыбные ловцы архиепискупу ноугороцкому 65 метей, а съ мети по 50 рыбъ. Псков.п.кн.,94. 1587 г.",,,,
мехир,,męcherz,м.,мѣхыръ,"мѣхирь, михирь",,,,"1. Пузырь, полый мешкообразный орган тела. содержащий какую-л. жидкость. 2. Мужской половой орган.",,"СлРЯ 9, 131",,,,,,"ZM(145) 17 w. ||михер R(91) Злъчнаго мѣхыра (τὸ κολιόδοχον ὄργανον). (Сильв. и Ант.вопр.) Оп. II (2), 147. 1512 г. (1); И то [пластырь] прикладываем ко отоку кои бываетъ во истах и в михире от разшибления. Травник Любч., 111. XVII в.~1534 г. ",,,,
мешанец,,mieszaniec,м.,,,,,,"Гибрид, помесь",,"СлРЯ 9, 138",,,Барс.Словарь,XVII в.,,"Мѣшанец з розных звѣреи рожденъ. Барс.Словарь, 165 об. XVII в.",,,,
мешкание,,mieszkanie,с.,мѣшканье,,,,,"Задержка, промедление.",,"СлРЯ 9, 141",,,Рим.имп.д. I,1577 г.,,"K3 И намъ въ  Штатинѣ мѣшканья не будетъ ни часу. Рим.имп.д. I, 710. 1577 г.",,,,
мешкать 1,,mieszkać (zwlekać),глаг.,,,,,,"Выжидать, медлить",,"СлРЯ 9, 141",,,Польск.д. I,1494 г.,,"RB И князь бы велики ту свою грамоту о греческомъ законѣ съ своею печятью прислалъ къ намъ не мѣшкая. Польск.д. I, 151. 1494 г.",,,,
мешкать 2,,,глаг.,,,,,,"1. Проживать, жить, быть чьм-л. подданным. 1.1. Находиться, пребывать где-л. (непродолжительное время).",,"СлРЯ 9, 141",,,А.Зап.Рос.,1338 г.,,"Умыслили есмо съ паны радами нашими и дали права и вольности всеи жидовѣ вышеймененой, мешкаючимъ въ томъ панствѣ нашовъ, которыи суть нижей въ томъ листѣ нашомъ выписаны. А.Зап.Рос. I, 23. 1338 г.",,,,
мещанин,,mieszczanin,м.,"мѣсчянинъ, метчянинъ",,,,,"1. В средневековом русском городе житель посада, слободы (как правило, мелкий ремесленник или торговец, входивший в городское податное сословие). 2. В западнорусских, западнославянских, литовских городах (называвшихся мѣсто) - горожанин вообще, представитель торгово-ремесленной части населения города. (древн.) 2.1. О жителе Мещанской слободы в Москве, населенной выходцами из западнорусских и польско-литовских городов",,"СлРЯ 9, 144",,,Польск.д. I,1495 г.,,"Мух.сб. (14) 1480,  1514  А въ Смоленску встрѣтили великую княжну князь Олександръ Отокста, да Юрьи Зиновьевъ... а съ ними всѣ люди смоляне, бояре и мѣсчяне. Польск.д. I, 183. 1495 г.",,,,
мещанка,,mieszczanka,ж.,,,,,,Женск. к мѣщанинъ ( в знач. 1),,"СлРЯ 9, 144",,Шхонб.Ист.орд.,,1710 г.,,"S 1663 ; 12 дѣвицъ младыхъ  мещанокъ Шхонб.Ист.орд., 242 1710 г.",,,,
мещанский,,mieszczański,прил.,,,,,,"1. Относящийся к мещанам - мелким -ремесленникам, жителям посада, слобод средневекового русского города. 2. Относящийся к горожанам. торгово-ремесленному населению западнорусских, западнославянсхих, литовских городов  (имевших самоуправление по Магдебургскому праву).  (древн.) М ѣ щ а н с к а я  с л о б о д а  - слобода в Москве (за Земляным валом), где жили выходцы из западнорусских и польско-литовских городов. ",,"СлРЯ 9, 144",,,ДАИ V,1666 г.,,"S 1609,  А на тѣхъ, государь, мѣстѣхъ стоятъ шляхецкие и райтарские, и началныхъ людей, и казацкие и мѣщанские дворы. ДАИ V, 78. 1666г.",,,,
мизантроп,,mizantrop,,,,,,,,,,,,Алф. 1,,,SM,,,,
мизерность,,mizerność ,ж.,мезерность,,,,,"Скудость, бедность.",,"СлРЯ 9, 77",,,,XVII в.,,"Мезерность - бедность. Алф. 1, 146 об. XVII в.",,,,
мизерный,,mizerny,прил.,мезерный,,,,,"Скудный, жалкий.",,"СлРЯ 9, 77",,,,XVII в.,,"Мезерный - бедный. Алф. 1, 146 об. XVII в.",,,,
милиция,,milicja,,,,,,,,,,,,,,,IL(63) 17/18 w.,,,,
миллион,,milion,м.,милион,,,,,Миллион.,,СлРЯ 9. 150,,,Куранты 2,1643 г.,,"L 1614,  А что дх҃овного чину поволили королю дат<ь>  и тово будетъ числом пятнатцат<ь> сот тысячь златых или полтора милиона полских. Куранты 2, 82. 1643 г.",,,,
милош,,miłosz,м.,,,,,,Любовник,,"СлРЯ 9, 156",,,Земск.соб.,1649 г.,,"Женишка... учела... воровать со многими милошами. Земск.соб., 34. 1649 г.",,,,
миля,,mila,ж.,,Миль.,"Через польск. milа или ср.-нж.-нем., ср.-н.-нем. mîlе ""миля"" от народнолат. miliа ж. из лат. мн. miliа passuum ""тысяча шагов"". (Фасмер II, 622).",,,"Мера расстояния, различная в разных средневековых европейских государствах. М и л я  б о л г а р с к а я, и т а л ь я н с к а я, н е м е ц к а я  и т. д. - разные по длине западноевропейские меры расстояния.",,"СлРЯ 9, 157",,,Х.Зос.,XVI в.,1422 г.,"L 1439, 1456, TUR(15), P śr.ros. И идохъ отъ Киева... 30 миль, а миля по 5 верстъ. Х.Зос., 2. XVI в. ~ 1422 г. ",,,,
мина,,mina (podkop),ж.,,,,да,,"Майна, индийский скворец (?)",,"СлРЯ 9, 162",,,ДТП III,1665 г.,,"SM Куплено индѣйскихъ птицъ, имена имъ - мины... да имъ же корму куплено: ягодъ, кишмишу, сахару. гороху. ДТП III, 1474. 1665 г.",,,,
минера,,minera,,,,,,,,,,,,,,,L 17 w.,,,,
министр,,minister,,министер,,,,,,,,,,,,,VK4 1649 [-тер],,,,
миния,,minia,,,,,,,,,,,,,,,L 17 w.,,,,
минута,,minuta,,,,,,,,,,,,,,,OT 1688,,,,
миссионар,,misjonarz,,мессионар,,,,,,,,,,,,,SOB(69) 17 w. [мес-] ,,,,
мистр,,mistrz (specjalista),м.,,Мистро,,,,"Специалист в области наук, искусств. ремесел, а также преподаватель (обычно имеющий ученую степень)",,"СлРЯ 9, 178.",,,Ерм.лет.,XVI в.,,"L 15 w., TF, SOB(154) 17 w. por: майстер; (1490): И приведоша съ собою к великому князя [так в изд.] лекаря, мистро Олена Жидовина, из Вѣнецѣи. Ерм.лет., 187. XVI в.",,,,
мистр,,mistrz (przełożony zakonu rycerskiego),м.,,,,,,"Глава средневекового духовно-рыцарского ордена, магистр.",,"СлРЯ 9, 178.",,,Волог.-Перм.лет.,XVI в.,,"Y 1474 s.v. mester;
L 16 w. por.: магистр  (1430): Князь великии Василеи Васильевич и Фотѣи митрополит были в Троцех у Витофта, а тогда к нему всѣм землямъ съшедшимся... прусскии неметцкии мистръ и мазовшанский князь великии. Волог.-Перм.лет., 186. XVI в.",,,,
митридат,,mitrydat,м.,митридасъ,,,,,Лекарственное растение семейства лилейных.,,"СлРЯ 9, 180.",,,Леч. III,XVIII в.,1672 г.,"L 16/17 w. О митридатѣ. Внутрь приятъ величествомъ съ бобовое зерно... пособляетъ отъ удушия. Леч. III., 171. XVIII в. ~ 1672 г.",,ср. греч. μιθριδάτιον,,
млын,,młyn,м.,млинъ,"млинь, млынь",,,,Мельница.,,"СлРЯ 9, 189",,,Польск.д. III,1570 г.,," K1 1659 А отъ Жоровлевичъ до урочища Полицы рѣки, гдѣ млинъ бывалъ пана Есманова. Польск.д. III, 657. 1570 г.",,,,
млынарь,,młynarz,м.,млинарь,,,,,Мельник.,,"СлРЯ 9, 189",,,Воссоед.Укр. с Рос.,1634 г.,,", S poł. 17 w.  Улася, млынаря, борзо збили, змордовали, и бороду ему вырвано, от которого збитя и змордованя ледво жив застал. Воссоед.Укр. с Рос. Ι, 136. 1634 г.",,,,
млынный,,młynny,прил.,млинный,,,,,Мельничный. К а м е н ь  м л ы н н ы й - жернов.,,"СлРЯ 9, 189",,,Барс.Словарь,XVIII в.,,"Камень млынныи - molaris, пол. Камень мелничный... μυλικός, μύλαξ, molaris. Барс.Словарь, 77. XVII в.",,,,
мних,,mnich,м.,мънихъ,,,,,Монах.,,"СлРЯ 9, 192",,,Пов.Бор.Год.,XVII в.,,"L 16/17 w., C 1638 s.v. ксендз; MUD(50); Той же игуменъ увѣща его быти мниха. Пов.Бор.Год., 154. XVII в.",,,,
