А,источник деривации,лемма греч.,часть речи ,фонетическая вариативность для русского языка 11-17 вв.,морфологическая вариативность для русского языка 11-17 вв.,этимология,гапакс,язык-посредник,семантика,толкование Фасмера,фиксация в исторических словарях русского языка,фиксация в словарях славянских языков,переводные источники,оригинальные источники,дата списка,дата появления источника,цитата первой и ранней фиксации,тематическая группа,дополнительная филологическая информация,дополнительная историко-культурная информация, связывающие отсылки,,
триунъ,,τριβοῦνοϛ,м.,,,от лат. tribunus,,греч.,Должностное лицо в Риме.,,"СлРЯ, 30, 167",,,,,XIII в.,"Въ болезни же сущю [Оливиану], приде мт҃и его и гл҃а: что ти есть съ кр҃стьяны и съ Урсикиемь триуномь? Пролог БАН (март), 10 об.",государство. должности и титулы,,,,,
[триуналие],,τριβουνάλιον,с.,,,от лат. tribunal,,греч.,Площадка с возвышением.,,"СлРЯ, 30, 167",,,,,XVI в.,"И пришедшим имъ на мѣсто триу<на>лие, явишас<я> полаты новы зданые (εἰϛ τὸ τριβουνάλιον). Сказ. о созд.св.Соф., 22.",архитектура. сооружения и постройки,,,,,
триуналий,,τριβουνάλιον,м.,,,от лат. tribunal,,греч.,Площадка с возвышением.,,"СлРЯ, 30, 167",,,,,XII-XIII вв.,"Носящемъ же крс҃ты цс҃рви же и людемъ съ патриархъмь Проклъмь у Евьдома къ полю на триунали [вар. 1262 г.: тривуналии]… вънезапу отроча посредѣ мъножьства въсхыщено и на въздухъ възносимо бываше (εἰϛ τὸ τριβουνάλιον). Пролог (жит.сент.), 116.",архитектура. сооружения и постройки,,,,,
триунский,,, прил.,,,,,,Относящийся к триуну.,,"СлРЯ, 30, 167",,,,,XIII в.,"Тъ [Урсикий] бѣ при Максимиянѣ цс҃ри воинъ саномь, еще же и триуньскымь чиномъ и саномь приспѣвъ. Пролог БАН (март), 10 об.",государство. должности и титулы,,,,,
ТРИУПОСТАСНЫЙ,,,прил.,,,,,,Имеющий три ипостаси,,"Срз. III, 1000; СлРЯ, 30, 156","SJS IV, 487, 489","Мин.Пут.3, 100. XI в.",,,,"Увидѣвъ коньць подвигъ своихъ, разрѣшивъся от тѣла… радуешися дх҃мь видя триупостасно Бж҃ство. Мин.Пут.3, 100. XI в.",религия. богословие,,,триипостасный,,
ТРИФѢИТЯНЕ,,,мн.ч.,,,,,,"Последователи Иоанна Трифеита, отрицавшие единосущие Троицы.",,"СлРЯ, 30, 167",,"(Тимоф. О прин.ерес.) Ефр.корм., 730.",,,XII в.,"Трифѣитяне, приемлющеи кънижьника гл҃емааго трудолюбивааго [перевод ́Φιλόπονον], паче суелюбивааго, и сущьства и естьства на Ст҃ую Тро<и>цю похульше (Τριθεῗται). (Тимоф. О прин.ерес.) Ефр.корм., 730.",религия. ереси и секты,,сторонники монофизитской ереси Иоанна Трифеита.,,,
трихаптонъ,,τρίχαπτον,м.,,,,,,"Головная повязка, украшение ",,"ФГcэ, III, 205; Срз. III, 1000; СлРЯ, 30, 167",,,,,1499 г.,"И облѣкохъ тя въ измьчьтаны, и обухъ тя въ чрьвлены, и препоясах тя въ синяи, възложихъ на тя трихаптон [глосса на поле: ако се у насъ въркочь; ср. чеш. vrkoč ‘коса’] (περιέβαλόν σε τριχάπτῳ). (Иез. XVI, 10) Библ.Генн.",быт. одежда,,,,,
трихинский,,τρίχινοϛ,прил.,,,,,,"от греч. τρίχινοϛ ‘волосяной’ (в сост. имени Феодора Трихины, носившего власяницу – σάκκοϛ τρίχινοϛ).",,"СлРЯ, 30, 167","SJS IV, 487",,,,До 1117 г.,"Памя(т) прп(д)бнаа(г) оц҃а наше(г) Фео(д)ра трихиньскаа(г). Мст.ев., 263.",человек. характеристики людей,,,,,
троглодиты,,τρωγλοδύτηϛ,мн.ч.,,,,,,"Троглодиты, дикари: первоначально – название народа, строившего жилища в пещерах",,"СлРЯ, 30, 169",,,,,XVII в.,"Троглодити – люди, иже живут во Африкийской земли по горам, аки змии. Алф.2, 86 об.",человек. характеристики людей,,,,,
троглодуте,,τρωγλοδύται,мн.ч.,,,,,,"троглодиты (возможно, о живущих в пещерах эфиопах)",,,,"Изб.Св. 1073 г., л. 138.",,,1073 г.,"Языци роздѣлиша ся и суть расѣяни въ языцѣхъ и племенѣхъ имена же ихъ суть се… гумнософисте троглодуте (τρωγλοδύται). Изб.Св. 1073 г., л. 138.",человек. характеристики людей,,,,,
троить,,τρώγω,глаг.,,,,,,,,"ФГcэ, III, 205-206",,, ,,,,,,,,,
трой,,τρώγω,м.,,,,,,,,"ФГcэ, III, 206; Срз III, 1001",,,,,,,,,,,,
тройло,,τρώγω,,,"трайляк (ФГcэ, III, 206)",,,,5,,"ФГcэ, III, 206",,,,,,,,,,,,
троксима,,"τρώξιμα, τρόξιμα ",ж.,,,,,,"от греч. τρώξιμα, τρόξιμα ‘то, что едят в дополнение к основной пище: фрукты, овощи, зелень’.",,"СлРЯ, 30, 178",,,,,XI в.,"Обѣща же ся уноша не пити ни еукрась, ни вина до живота своего, ѣдяше же серис, троксима [в изд.: трозима; в ркп. неясно: «кси» или «з»], зелие (τρόξιμα). Патерик Син., 294.",быт. еда,,,,,
троксимо,,τρώξιμω:τρώγω,с.,,,,,,,intibi genus,"ФГcэ, III, 205; Срз. III, 340",,,,,,,,,,,,
троктъ,,τρώκτης,м.,,,,,,,piscis,"ФГcэ, III, 206",,,,,,,,,,,,
[тропарщикъ],,,м.,,,,,,"Тот, кто исполняет церковные песнопения (тропари) на праздничных трапезах в монастыре.",,"СлРЯ, 30, 179",,,,,1590 г.,,религия. богослужебные должности,,,,,
тропарь,,τροπάρι(ον),м.,,,,,,"1. Церковное песнопение, состоящее из одной строфы и исполняемое в определенные богослужебным уставом моменты церковной службы. 2. Строфа песни в составе гимнографического канона. ",modus,"ФГcэ, III, 206; Срз. III, 1002; СлРЯ, 30, 179","SJS IV, 491; Стболг. II, 962; Грц.макед., 277 (тропар)",с 1095 г.,"(Вопр.Кирика) РИБ VI, 25. 1285–1291 гг. ~ 1130–1156 гг.; (Посл.мт.Фотия) РИБ VI, 414. XV-XVI вв. ~ 1419 г.; Ипат.лет., 266. Ок. 1425 г.Заздравная Ив.Гр., 519. XVI в.; Сл.мт.Дан., 67. XVI в.;  АХУ II, 1168. XVII в.; ДАИ V, 110. 1674 г.",,Ок. 1095 г.,"(1111): Князь Володимеръ пристави полкы [вм.: попы] своя, ѣдучи предъ полкомъ, пѣти тропари и коньдакы. Ипат.лет., 266. Ок. 1425 г.",религия. богослужебные книги,,,,,
тропникъ,,,м.,,,,,,"Тропник, название сочинения Иннокентия, папы Римского.",,"СлРЯ, 30, 179",,,"Кн.пер. казны Ник., 109. 1658 г.",,1658 г.,"Книга Служебникъ писмяной въ четверть. Книга Тропникъ да чинъ церковной, писмяная въ четверть. Кн.пер.казны Ник., 109.",религия. богослужебные книги,,,,,
тропология,,τροπολογία,ж.,,,,,,"Иносказание, аллегория",,"СлРЯ, 30, 179",,,,XVII в.,1535 г.,"Вдовица по тропологии есть дш҃а (secundum tropologiam). Брун.Толк.Псалт., 405.",культура. наука,,,,,
трофея,,τρόπαιον,ж.,,,от лат. tropaea (мн. ч. от tropaeum из греч. τρόπαιον),,лат.,трофей,trophaeum,"ФГcэ, III, 206; Срз. III, 1003",,"2 Макк. V, 6) Библ.Генн. 1499 г.",,1499 г.,,"Иасонъ бо не пращаше упадениа гражаном своим, ни помышляшляше [так!] преспѣваниа на ужикы лукаво быти, велми чающи врагом и не гражаном себѣ трофеа приати (tropaea). (2 Макк. V, 6) Библ.Генн. 1499 г.",военное дело,,,,,
трофилъ,,,м.,,,,,,"То же, что трохилъ.",,"СлРЯ, 30, 183",,,,1538 г.,1512 г.,"Царь же [Константин Багрянородный] убо, совѣтники послушавъ… Романа яко любима присвояеть… якоже аще кто речеть… трофила коркодилъ (τροχίλον). (Хрон.Манас.) Хроногр. 1512 г., 356.",природа. животный мир,,,,,
трофитияне,,,мн.,,,,,,"То же, что трифеитяне.",,"СлРЯ, 30, 183",,,,,XII в.,"[Заголовок] О трофитияньхъ [Корм.Балаш., 472. XVI в.: трофитьянѣх] (περὶ τῶν Τριθεhτῶν). (Тим.пресв.) Ефр.корм., 730.",религия. ереси и секты,,,,,
трофияне,,,мн.,,,,,,"То же, что трифеитяне.",,"СлРЯ, 30, 183",,,,,XVI в.,"Трофияне приемлюще книжника, гл҃емаго друголюбиваго, пач<е> суелюбиваго… глщ҃е, яко тѣло, еже ныня имам<ы>, не востанет нетлѣнно, но ино в него мѣсто (τριθεῖται). (Тим.пресв.) Корм.Балаш., 472.",религия. ереси и секты,,,,,
трохей,,τροχαῖος,м.,,,,,,"Стихотворная стопа, из долгого (ударного) и краткого (безударного) слога",,"СлРЯ, 30, 183",,,"Грам.сб., 53. 1620-е гг.",,1620-е гг.,"Ироическое ж метро шестомѣрител<ь>но ес<ть>… Еже приемлет в первом и втором и третием и четвертом и пятом предѣле или дактила или спондея, в шестом же или спондея или трохея… Дактиль: дондеже; спондей: буду; трохеи: будетъ. Грам.сб., 53.",искусство. стихосложение,,,,,
трохилъ,,τροχίλος,м.,,,,,,"Птица ржанка египетская, Pluvianus sive Cursorius Aegyptius",avis genus,"ФГcэ, III, 206; Срз. III, 1003; СлРЯ, 30, 183",,,,XV в.,1385 г.,"Ино же есть птичное есст҃во нарицаема трохилъ, еже зубы чистит сего звѣря [крокодила] (Aelianus VIII, 25: ὁ μὲν τροχίλοϛ ὄρνιϛ ἐστί). Шестоднев Г.Пизида, 30.",природа. животный мир,,,,,
троякъ,,τρώγω,м.,,,,,,,,"ФГcэ, III, 206",,,,,,,,,,,,
троянда,,τριαντάφυλλο,ж.,,,,,,,rosa centifolia,"ФГcэ, III, 206",,,,,,,,,,,,
трояндофилъ,,τριαντάφυλλο,м.,,,,,,Роза,rosa,"ФГcэ, III, 206",,,,,,,природа. растения и плоды,,,,,
трояндофиловъ,,,прил.,,,,,,Относящийся к розе,,"СлРЯ, 30, 184",,,"Х.Ант.Новг., 64. XVI в. ~ 1200 г.",XVI в.,1200 г.,"Во церкви святыя Богородицы написанъ на стѣнѣ святый Иоаннъ; и выросло у него изъ чела трояндофиловъ цвѣтъ въ сыропустную недѣлю, аки сыръ бѣло. Х.Ант.Новг., 64.",природа. растения и плоды,,,,,
трулъ,,τροῦλλος,м.,,,,,,"Купол, свод",,"ФГcэ, III, 206; СлРЯ, 30, 206",,,"Х.Грефения, 402. XV в. ~ 1370 г.",XV в.,1370 г.,"Црк҃вь… въ два верха, единъ над гробомъ Бж҃иимъ не покрытъ, а другыи над прс҃тлом ст҃ыя трапезы покрыт съ труломъ звонникъ. Х.Грефения, 402.",архитектура. сооружения и постройки,,,,,
туждеепископъ,,ἀλλοτριεπίσκοπος,м.,,,,,,"Передача греч. ἀλλοτριεπίσκοπος букв. ‘тот, кто смотрит на чужое; тот, кто посягает на чужое’; зд., возможно, ‘укрыватель краденого’ (?) или ‘шпион, доносчик’ (?).",,"СлРЯ, 30, 218",,,,XVI в.,XV в.,"Отриновенъ есть богословиемъ всякъ туждеепископъ [ср. 1 Петр. IV, 15] (πᾶς ὁ ἀλλοτριεπίσκοπος). (Д.Ареопаг. Посл.Димоф.) ВМЧ Окт. 1–3, 756.",человек. характеристики людей,,,,,
тумба,,τοῦμβα,ж.,,,,,,"Подставка, основание (столба), каменное или деревянное",,"ФГcэ, III, 207; СлРЯ, 30, 227","Грц.макед., 277",,"Заб.Дом.быт, I, 614. 1685 г.; Опис.Холмог.ц., 12 1696 г.",,1685 г.,"Куплено… на тунбы къ столбамъ 40 досокъ полуторныхъ красныхъ. Заб.Дом.быт, I, 614.",архитектура. сооружения и постройки,,,,,
тумванъ,,τούμβανος:τύμπανος:τύμπανον,м.,,,,,,,instrumentum musicum,"ФГcэ, III, 207",,,,,,,,,,,,
тумпазий,,,м.,,,,,,"То же, что топазъ.",,"Срз. III, 1037; СлРЯ, 30, 227",,"Панд.Ант.1, 133.",,,XI в.,"Възлюбихъ заповѣди твоя паче злата и тумпазия (Пс. CXVIII, 127: ὑπὲρ… τοπάζιον). Панд.Ант.1, 133.",природа. драгоценные камни,,,"ПАЗИОНЪ, ПАЗНИИ, ПАЗНОНЪ, ПАНЗИИ, ПАНЗИОНЪ, ТИМПАЗИЙ , ТОМПАЗЪ, ТОПАЗИЙ, ТОПАЗИОНЪ, ТОПАЗИОСЪ, ТОПАЗЪ, ТОПАНЗИЯ, ТУМПАЗЪ, ТУМПАЗИОНЪ, ТУПАЗИЙ, ТЫНПАСЪ",,
тумпазионъ,,,м.,,,,,,"То же, что топазъ.",,"СлРЯ, 30, 227",,,,,XII в.,"  θ҃ – тоумпазионъ [вар. Апокал.2, 93 об. XVI в.: тумбазионъ] <Толкование:> Тумпазионъ же – Матфѣи, яко млечную влагу пущающь, ицѣляюще ср҃дцьнѣи очи (τοπάζιον… τοπάζιον). Панд.Ант.1, 133.",природа. драгоценные камни,,,"ПАЗИОНЪ, ПАЗНИИ, ПАЗНОНЪ, ПАНЗИИ, ПАНЗИОНЪ, ТИМПАЗИЙ , ТОМПАЗЪ, ТОПАЗИЙ, ТОПАЗИОНЪ, ТОПАЗИОСЪ, ТОПАЗЪ, ТОПАНЗИЯ, ТУМПАЗЪ, ТУМПАЗИЙ, ТУПАЗИЙ, ТЫНПАСЪ",,
тумпазъ,,,м.,,,,,,"То же, что топазъ.",,"СлРЯ, 30, 227",,,"Оп.Новг.Соф.соб., 372. 1646 г.; АИ IV, 39. 1646 г.; Росп.им.Н.Ром., 3. 1655 г.; ДАИ V, 62. 1668 г.; Д.Шакловит. IV, 324. 1689 г.",XV в.,XII в.,"Троица каменьна стихии имуща, чюдно нѣкое стяжание зрящимъ являшеся: пръвыи же стихии имуще сардоникъ, тумъпазъ, измарагдъ, вторыи же анфраксъ, исъпидъ и самфиръ, третии же легуринъ, амѣстофунъ и ахатинъ (τοπάζιον). Александрия, 39.",природа. драгоценные камни,,,"ПАЗИОНЪ, ПАЗНИИ, ПАЗНОНЪ, ПАНЗИИ, ПАНЗИОНЪ, ТИМПАЗИЙ , ТОМПАЗЪ, ТОПАЗИЙ, ТОПАЗИОНЪ, ТОПАЗИОСЪ, ТОПАЗЪ, ТОПАНЗИЯ, ТУМПАЗИЙ, ТУМПАЗИОНЪ, ТУПАЗИЙ, ТЫНПАСЪ",,
тумпальница,,,ж.,,,,,,"Та, кто играет на тимпане.",,"Срз III, 1037; СлРЯ, 30, 227",,,,,XI-XII вв.,"Црк҃ви гл҃еть дѣвы, яко и юны суща вѣрою, тумпальница же, яко въ тѣхъ бряздающамъ гуслемъ дх҃овномь (τυμπανιστρίαϛ). (Пс. LXVII, 26, толк.) Псалт.толк. (Т.), 113 об.",искусство. музыка,,,,,
тумпанъ,,τύμπανον ,м.,,,,,,тимпан ,,"Срз III, 1037",,,,,,"Въ тумпанѣ в пс҃лтри да поютъ ему (ἐν τυμπάνῳ). Псалт. Сим. д. 1280 г. пс. CXLIX. 3. (Срз III, 1037)",искусство. музыкальные инструменты,,,,,
тумпанница,,,ж.,,,,,,"Та, кто играет на тимпане.",,"Срз. III, 1037",,,,,,"Посрѣдѣ дв҃ъ тумпаньниць. Псалт. Сим. д. 1280 г. пс. LXVII. 26. (Срз. III, 1037)",искусство. музыкальные инструменты,,,,,
тумпань,,,прил.,,,,,,Относящийся к тимпану,,"СлРЯ, 30, 227",,,,,XII в.,"Псалтырь же духъ, дш҃а же гусли, тумпанъ язьно имать мьртво умьртвие, да въспоеши Бу҃ тумпанемь ликъмь [ср. Псалт. CL, 4] (ἐν τυμπάνῳ букв. ‘в тимпане’). Златостр.3 (Г.), 160.",искусство. музыкальные инструменты,,,,,
тунецъ,,θύννος,м.,,,,,,,thynnus vulgaris,"ФГcэ, III, 207",,,,,,,природа. животный мир,,,,,
тупазий,,,м.,,,,,,"То же, что топазъ.",,"СлРЯ, 30, 229",,,,,XIV в.,"Възлюбихъ заповѣди твоя паче злата и тупазия (Пс. CXVIII, 127: ὑπὲρ… τοπάζιον). Требник (Ш.), 97 об.",природа. драгоценные камни,,,"ПАЗИОНЪ, ПАЗНИИ, ПАЗНОНЪ, ПАНЗИИ, ПАНЗИОНЪ, ТИМПАЗИЙ , ТОМПАЗЪ, ТОПАЗИЙ, ТОПАЗИОНЪ, ТОПАЗИОСЪ, ТОПАЗЪ, ТОПАНЗИЯ, ТУМПАЗЪ, ТУМПАЗИЙ, ТУМПАЗИОНЪ, ТЫНПАСЪ",,
тупальница,,,ж.,,,,,,"То же, что тумпальница.",,"Срз. III, 1037; СлРЯ, 30, 229",,,,,XI-XII вв.,"Посрѣ<дѣ> дѣвъ тупальници: цр҃кви гл҃еть дѣвы, яко и юны суща вѣро©, тумъпальница же, яко въ тѣхъ бряздающамъ гуслемъ дх҃овьномъ (τυμπανιστρίαϛ). (Пс. LVIII, 26, толк.) Псалт.толк. (Т.), 113 об.",искусство. музыка,,,,,
тупанъ,,τύμπανον,м.,,,,,,"То же, что тимпанъ.",,"Срз. III, 1037; СлРЯ, 30, 229","SJS IV, 521",,,,XII в.,"Възьмѣте, рече, псалъмъ и дадите тупанъ (Пс. LXXX, 3: τύμπανον). Златостр.3 (Г.), 160.",искусство. музыкальные инструменты,,,,,
тупанница,тупанъ,,ж.,,,,,,"То же, что тумпальница.",,"СлРЯ, 30, 229",,,,,XI в.,"Вариша князи близъ поющиихъ посрѣдѣ дѣвъ тупаньниць (τυμπανιστρίαϛ). (Пс. LVIII, 26) Псалт.Б.-С., 46 об.",искусство. музыка,,,,,
турмархъ,,τουρμάρχης,м.,,,,,,Командир турмы,,"СлРЯ, 30, 231",,"(Хрон.Ио.Зонары) Хроногр. 1512 г., 331. 1538 г.",,1538 г.,1512 г.,"Абие Михаила постави [имп. Лев V] патрикиа, Фому же, иже третий бѣ с ними, турмарха постави (τουρμάρχην). (Хрон.Ио.Зонары) Хроногр. 1512 г., 331.",военное дело. военные должности,,,,,
тынпасъ,,τοπάζιον,м.,,,,,,"То же, что топазъ.",,"СлРЯ, 30, 252",,,"Кн.коп.Ивер.м., 209 об. 1656 г.",,1656 г.,"Да еунл҃ие напрс҃тлное, обложено серебромъ… вверху камень серовикъ, в-ысподи камен<ь> тынпасъ, подложено бархатом золотным. Кн.коп.Ивер.м., 209 об.",природа. драгоценные камни,,,"ПАЗИОНЪ, ПАЗНИИ, ПАЗНОНЪ, ПАНЗИИ, ПАНЗИОНЪ, ТИМПАЗИЙ , ТОМПАЗЪ, ТОПАЗИЙ, ТОПАЗИОНЪ, ТОПАЗИОСЪ, ТОПАЗЪ, ТОПАНЗИЯ, ТУМПАЗЪ, ТУМПАЗИЙ, ТУМПАЗИОНЪ, ТУПАЗИЙ",,
тябельный,тябло,,прил.,,,,,,Относящийся к тяблу (см. тябло в знач. 1).,,"СлРЯ, 30, 267",,,"(Кн.прих.борошню) Арх.Он., № 88, 41 об. 1665 г.",,1665 г.,"Оконничному мастеру ивану… Шадре… для цр҃ковного тябел<ь>ного пис<ь>ма дано два фунта с чет<ь>ю красок разных цветовъ. (Кн.прих.борошню) Арх.Он., № 88, 41 об.",религия. убранство храма,,,,,
тябло,,τέμπλον,с.,,,,,,"1. Несущая часть иконостаса, горизонтальный брус (или бревно) с продольным пазом, в котором стоят иконы в несколько рядов, один над другим. 2. Подставка с пазами и подсвечниками для свечей. ",,"ФГcэ, III, 208; Срз. III, 1096-1097; СлРЯ, 30, 267",,,"Новг.харат.лет., 145. XIII в.; Псков.лет. II, 30. XV в.; Заб.Мат. I, 9. 1627 г.; Кн.пер.Свир.м. № 37, 9. 1660 г.; Кн.Ивер.м. IV, 2 об. 1679 г.; Опис.Холмог.ц., 12. 1696 г.; Ревел.а. I, 226. 1619 г.; Гр.Дв. I, 734. 1635 г.; Кн.п.Балахн., 14. XVIII в. ~ 1676 г.",,XIII в.,"1 зн. (1204): Заутра же слнч҃ю въсходящю, вънидоша [латиняне] въ Ст҃ую Софию и одьраша двьри… и столпы сребрьные .вI҃., а .д҃. кивотьныя и тягло [вм.: тябло; Новг. I лет. (Н.), 244. XV в.: тябло] исѣкоша. Новг.харат.лет., 145. ",религия. убранство храма,,,,,
тязиотъ,,ταξιώτηϛ,м.,,,,,,Вм. *таксиотъ (?) как результат графического смешения букв «кси» и «земля»,,"СлРЯ, 30, 295",,"Изм., 266.",,XVI в.,XIV в.,"В Картигании бысть в лѣто патрикиа Никиты тязиотъ нѣкто в претории бѣ. Изм., 266.",государство. должности и титулы,,,,,
тяскодругии,,Τασκοδροῦγοι,мн.ч.,,,,,,Представители одной из раннехристианских сект.,,"СлРЯ, 30, 299",,"(Тимоф. О прин.ерет.) Ефр.корм., 708.",,XII в.,,"Тяскодругии гл҃ються языкъмь галатьскыимь, имьже «тяскосъ» [τασκός] от нихъ «коль» [ὁ πάσσαλος ‘колышек’] съказаеться, „друръгъ‟ [δροῦγος; слав. к возм.: δροῦργος?] же «ноздрь»; есть же имъ обычаи таковъ въ гл҃аголемыихъ от нихъ мл҃твахъ вълагають пьрстъ десныя рукы въ ноздрь и тако моляться; тѣмь убо образъмь гл҃ються галатьскы тяскодругии, еже сказаеться колавьртѣние (πασσαλορυγχῖται ‘те, кто с палочкой на лице’). (Тимоф. О прин.ерет.) Ефр.корм., 708. XII в.",религия. ереси и секты,,представители одной из раннехристианских сект.,,,
тяскосъ,,τασκός,от греч.,,,от греч.τασκός,,,колышек (?),,"ср. СлРЯ, 30, 299 (Тяскодругии)",,"(Тимоф. О прин.ерет.) Ефр.корм., 708. XII в.",,XII в.,,"Тяскодругии гл҃ються языкъмь галатьскыимь, имьже «тяскосъ» [τασκός] от нихъ «коль» [вм.: колъ – ὁ πάσσαλος ‘колышек’] съказаеться, «друръгъ» [δροῦγος; слав. к возм.: δροῦργος?] же «ноздрь»; есть же имъ обычаи таковъ… вълагають пьрстъ десныя рукы въ ноздрь и тако моляться; тѣмь убо образъмь гл҃ються галатьскы тяскодругии, еже сказаеться колавьртѣние (τασκοδροῦγοι… τασκοδροῦγοι, вар.: τασκοδρουργοί... τασκοδρουργοί). (Тимоф. О прин.ерет.) Ефр.корм., 708. XII в.",быт. утварь,,,,,
уакинфъ,,,м.,"акинфъ, аукинфъ, иоакинфъ",,,,,"Гиацинт, драгоценный камень.",,"СлРЯ, 30, 307",,"Изб.Св. 1073 г.2, 499",,1073 г.,,"Уакинфъ [Александрия, 153. XV в.: аукынфъ] акы ючрьмьнь [ὑποπυρίζων ‘светящийся изнутри’] есть, обрѣтаеть же ся въ утрьнии варъварии Сюриисцѣи (ὑάκινθοϛ). Изб.Св. 1073 г.2, 499 [то же – Александрия, 153. XV в.].",природа. драгоценные камни,,,,,
уалентиане,,,"м., мн.",,,,,,"Валентиниане, последователи учения гностика Валентина (II в.).",,"СлРЯ, 30, 307",,"(Епиф.Кипр. о ерес.) Ефр.корм., 655.",,XII в.,,"Увалентияне [вар. Ряз.корм., 174. 1284 г.: Увалентинтинияне [так!]; Корм.Балаш., 166. XVI в.: уалентиане] плъти убо отмещють въскрьсение… (Οὐαλεντινιανοῖ). (Епиф.Кипр. о ерес.) Ефр.корм., 655.",религия. ереси и секты,,"последователи гностического учения II-V вв., названного по имени египетского философа Валентина. В основе лежит идея абсолютной полноты вечного бытия или мира эонов.",,,
уалентиянь,,,прил.,,,,,,"Валентинианский, относящийся к валентинианам.",,"СлРЯ, 30, 307",,"(Посл.еп.Сав. к Поливию) Усп.сб., 294.",,XII-XIII вв.,,"Лонгинъ же и Петронии, рекомая дияка от ереси уалентияня… та възбраняста ст҃аго оц҃я [Епифания Кипрского] погрети. (Посл.еп.Сав. к Поливию) Усп.сб., 294.",религия. ереси и секты,,,,,
уболъ,,ἔμβολον,м.,"амболъ, емболъ",импола,,,," 1. Крытая галерея, колоннада, портик для прохода; здесь: об емболах в Константинополе. 2. О части церкви. 3. Колодец.",,"Срз. III, 1116; СлРЯ, 31, 39-40",,"Патерик Син., 164.","Х.Ант.Новг., 29. XVI в. ~ 1200 г.",XI в.,XI в.,"2 зн. Азъ же, въставъ заутра, распространихъ чрьту цр҃квьную, и копающю ми, обрѣтохъ тѣло его [отца Петра] лежаще… сътворихъ гробъ добръ въ деснѣмь уболѣ, ту его положихъ (εἰς τὸν δέξιον ἔμβολον). Патерик Син., 164. ",архитектура. храм и богослужебные постройки,,,,,
удна,,"ὕδνον, ὕδνα",мн.ч.,,,,да,,Трюфели,,"СлРЯ, 31, 198",,"Александрия, 77.", ,XV в.,XII в.," Друзии же от земля приношаху удна, яже бяху въ тягости гривенъ ·ке· (ὕδνα). Александрия, 77. ",природа. растения и плоды,,,,,
удрихоосъ,,ὑδροχόος,м.,,,,да,,"название македонского месяца, соответствующего названию созвездия Водолея",,не зафиксировано,,"Изб.Св. 1073 г., л. 251.",,1073 г.,,"Мс҃ци по македонамъ .а҃. таурос .в҃. дидумъ… .і҃. удрихоосъ (ὑδροχόος). Изб.Св. 1073 г., л. 251.",календарь. месяцы,,,,,
удрихъ,,"ὑδρηχόος, ὑδροχόος ",м.,,,,да,,"Созвездие Водолея, знак зодиака",,"СлРЯ, 31, 221",,"Сильв. и Ант.вопр.1, 383.",,XV в.,,"Да како вся Егильскыя жены [αἱ Γήλων γυναῖκες] не родишас<я> въ Егокерѣ [Αἰγοκέρῳ ‘в созвездии Козерога’] или въ Удрисѣ (ὑδροχόῳ)? Сильв. и Ант.вопр.1, 383. ",астрономия. созвездия,,,,,
уена,,ὕαινα,ж.,иена,,,,,Гиена,,"Срз. III, 1159; СлРЯ, 31, 228",,"Изб.Св. 1073 г.2, 413.","Ж.Павла Обн.3, 83. XVI в.",1073 г.,," Обративъшу же ся ему [ученику] въ пустыню, обрѣте бгоносивааго своего наставьника отъ уены изѣдена (ὑπὸ ὑαίνης). Изб.Св. 1073 г.2, 413.",природа. животный мир,,,,,
уенинъ,уена,,прил.,,,,,,Относящийся к гиене.,,"Срз. III, 1160; СлРЯ, 31, 228",,"Изб.Св. 1073 г.2, 502.",,1073 г.,," Да отъсуду, якоже е мьнѣти, съпьсавъшая врачьбьныя кънигы изимавъше… коею мѣрою студенѣе или топлѣе и кое къжьдо живота сии удъ коему врѣду есть цѣльба, рекъше уенина злъчь и львовъ лои (ἡ τῆς ὑαίνης χολή). Изб.Св. 1073 г.2, 502. ",природа. животный мир,,,,,
укинтинъ,,ὑάκινθος,м.,,,,,," Одежда пурпурного цвета, багряница",,"СлРЯ, 31, 305",,"(Сир. XL, 4) Библ.Генн. 1499 г.",,,1499 г.,"Печал<ь> велиа създана быс<ть> всякому члку… от сѣдящаго на прстлѣ славы и до смѣренаго на земли и попелъ, от нося щаг<о> укинтина и вѣнець и до носящааго льнѣ ну (ἀπὸ φοροῦντος ὑακίνθον καὶ στέφανον). (Сир. XL, 4) Библ.Генн. 1499 г.",быт. одежда,,,,,
укия,,"ὄγκια, οὐγκία",ж.,укня,,от лат. uncia,,," Унция, мера веса и объема ",,"СлРЯ, 31, 306",,"Ж.Ал.чел. бож., 462.",,XVI в.,XII в.,"[Св. Алексий] ядяше двѣ уки<и> хлѣба и двѣ уки<и> пиаше воды (δύο οὐγκίας ἄρτου ἤσθιεν καὶ [δύο οὐγκίας] ὕδατος). Ж.Ал.чел. бож., 462. ","меры длины, веса, объема",,,,,
укня,,"ὄγκια, οὐγκία",ж.,укия,,от лат. uncia,,,"То же, что укия;  унция, мера веса и объема ",,"СлРЯ, 31, 316",,"Ж.Ал.чел.бож., 469.",,XII в.,," От недѣля до недѣлѣ причащающася Стхъ таинъ и ·в· укъни хлѣба и ·в· укъни воды пияше (δύο ὀγκείας ἄρτου… καὶ δύο ὀγκείας ὕδατος). Ж.Ал.чел.бож., 469.","меры длины, веса, объема",,,,,
